word,is_clueable,zipf,pos,flags,theme_tags,banned,in_must_keep,sources
ABERRANT,True,2.69,noun,atomic=False,,False,,BAS|PLAY|WL
ABERRANTS,True,,,,,False,,PLAY|WL
ABERRATED,True,,,,,False,,PLAY|WL
ABET,True,,,,,False,,PLAY|WL
ABETMENT,True,,,,,False,,PLAY|WL
ABETMENTS,True,,,,,False,,PLAY|WL
ABETS,True,,,,,False,,PLAY|WL
ABETTAL,True,,,,,False,,PLAY|WL
ABETTALS,True,,,,,False,,PLAY|WL
ABETTED,True,,,,,False,,PLAY|WL
ABETTER,True,,,,,False,,PLAY|WL
ABETTERS,True,,,,,False,,PLAY|WL
ABETTING,True,2.82,verb,atomic=False,,False,,BAS|PLAY|WL
ABETTOR,True,,,,,False,,PLAY|WL
ABETTORS,True,,,,,False,,PLAY|WL
ABEYANCE,True,,,,,False,,PLAY|WL
ABEYANCES,True,,,,,False,,PLAY|WL
ABEYANCY,True,,,,,False,,PLAY|WL
ABEYANT,True,,,,,False,,PLAY|WL
ABFARAD,True,,,,,False,,PLAY|WL
ABFARADS,True,,,,,False,,PLAY|WL
ABHENRIES,True,,,,,False,,PLAY|WL
ABHENRY,True,,,,,False,,PLAY|WL
ABHENRYS,True,,,,,False,,PLAY|WL
ABHOR,True,2.64,verb,atomic=False,,False,,BAS|PLAY|WL
ABHORRED,True,,,,,False,,PLAY|WL
ABHORRENT,True,2.97,adj,atomic=False,,False,,BAS|PLAY|WL
ABHORRER,True,,,,,False,,PLAY|WL
ABHORRERS,True,,,,,False,,PLAY|WL
ABHORRING,True,,,,,False,,PLAY|WL
ABHORS,True,,,,,False,,PLAY|WL
ABIDANCE,True,,,,,False,,PLAY|WL
ABIDANCES,True,,,,,False,,PLAY|WL
ABIDE,True,3.59,verb,atomic=True,,False,,BAS|PLAY|WL
ABIDED,True,,,,,False,,PLAY|WL
ABIDER,True,,,,,False,,PLAY|WL
ABIDERS,True,,,,,False,,PLAY|WL
ABIDES,True,,,,,False,,PLAY|WL
ABIDING,True,3.45,verb,atomic=False,,False,,BAS|PLAY|WL
ABIDINGLY,True,,,,,False,,PLAY|WL
ABIGAIL,True,,,,,False,,PLAY|WL
ABIGAILS,True,,,,,False,,PLAY|WL
ABILITIES,True,4.21,noun,atomic=False,,False,,BAS|PLAY|WL
ABILITY,True,4.96,noun,atomic=False,,False,,BAS|PLAY|WL
ABIOGENIC,True,,,,,False,,PLAY|WL
ABIOSES,True,,,,,False,,PLAY|WL
ABIOSIS,True,,,,,False,,PLAY|WL
ABIOTIC,True,,,,,False,,PLAY|WL
ABJECT,True,3.0,adj,atomic=False,,False,,BAS|PLAY|WL
ABJECTION,True,,,,,False,,PLAY|WL
ABJECTLY,True,,,,,False,,PLAY|WL
ABJURE,True,,,,,False,,PLAY|WL
ABJURED,True,,,,,False,,PLAY|WL
ABJURER,True,,,,,False,,PLAY|WL
ABJURERS,True,,,,,False,,PLAY|WL
ABJURES,True,,,,,False,,PLAY|WL
ABJURING,True,,,,,False,,PLAY|WL
ABLATE,True,,,,,False,,PLAY|WL
ABLATED,True,,,,,False,,PLAY|WL
ABLATES,True,,,,,False,,PLAY|WL
ABLATING,True,,,,,False,,PLAY|WL
ABLATION,True,2.77,noun,atomic=False,,False,,BAS|PLAY|WL
ABLATIONS,True,,,,,False,,PLAY|WL
ABLATIVE,True,,,,,False,,PLAY|WL
ABLATIVES,True,,,,,False,,PLAY|WL
ABLAUT,True,,,,,False,,PLAY|WL
ABLAUTS,True,,,,,False,,PLAY|WL
ABLAZE,True,2.93,adj,atomic=True,,False,,BAS|PLAY|WL
ABLE,True,5.43,adj,atomic=True,,False,,BAS|PLAY|WL
ABLEGATE,True,,,,,False,,PLAY|WL
ABLEGATES,True,,,,,False,,PLAY|WL
ABLER,True,,,,,False,,PLAY|WL
ABLES,True,,,,,False,,PLAY|WL
ABLEST,True,,,,,False,,PLAY|WL
ABLINGS,True,,,,,False,,PLAY|WL
ABLINS,True,,,,,False,,PLAY|WL
ABLOOM,True,,,,,False,,PLAY|WL
ABLUENT,True,,,,,False,,PLAY|WL
ABLUENTS,True,,,,,False,,PLAY|WL
ABLUSH,True,,,,,False,,PLAY|WL
ABLUTED,True,,,,,False,,PLAY|WL
ABLUTION,True,,,,,False,,PLAY|WL
ABLUTIONS,True,,,,,False,,PLAY|WL
ABLY,True,2.67,adv,atomic=True,,False,,BAS|PLAY|WL
ABMHO,True,,,,,False,,PLAY|WL
ABMHOS,True,,,,,False,,PLAY|WL
ABNEGATE,True,,,,,False,,PLAY|WL
ABNEGATED,True,,,,,False,,PLAY|WL
ABNEGATES,True,,,,,False,,PLAY|WL
ABNEGATOR,True,,,,,False,,PLAY|WL
ABNORMAL,True,3.71,adj,atomic=False,,False,,BAS|PLAY|WL
ABNORMALS,True,,,,,False,,PLAY|WL
ABO,True,2.77,noun,atomic=True,,False,,BAS|PLAY|WL
ABOARD,True,4.14,adv,atomic=True,,False,,BAS|PLAY|WL
ABODE,True,3.13,noun,atomic=True,,False,,BAS|PLAY|WL
ABODED,True,,,,,False,,PLAY|WL
ABODES,True,,,,,False,,PLAY|WL
ABODING,True,,,,,False,,PLAY|WL
ABOHM,True,,,,,False,,PLAY|WL
ABOHMS,True,,,,,False,,PLAY|WL
ABOIDEAU,True,,,,,False,,PLAY|WL
ABOIDEAUS,True,,,,,False,,PLAY|WL
ABOIDEAUX,True,,,,,False,,PLAY|WL
ABOIL,True,,,,,False,,PLAY|WL
ABOITEAU,True,,,,,False,,PLAY|WL
ABOITEAUS,True,,,,,False,,PLAY|WL
ABOITEAUX,True,,,,,False,,PLAY|WL
ABOLISH,True,3.48,verb,atomic=False,,False,,BAS|PLAY|WL
ABOLISHED,True,3.62,verb,atomic=False,,False,,BAS|PLAY|WL
ABOLISHER,True,,,,,False,,PLAY|WL
ABOLISHES,True,,,,,False,,PLAY|WL
ABOLITION,True,3.51,noun,atomic=False,,False,,BAS|PLAY|WL
ABOLLA,True,,,,,False,,PLAY|WL
ABOLLAE,True,,,,,False,,PLAY|WL
ABOMA,True,,,,,False,,PLAY|WL
ABOMAS,True,,,,,False,,PLAY|WL
ABOMASA,True,,,,,False,,PLAY|WL
ABOMASAL,True,,,,,False,,PLAY|WL
ABOMASI,True,,,,,False,,PLAY|WL
ABOMASUM,True,,,,,False,,PLAY|WL
ABOMASUS,True,,,,,False,,PLAY|WL
ABOMINATE,True,,,,,False,,PLAY|WL
ABOON,True,,,,,False,,PLAY|WL
ABORAL,True,,,,,False,,PLAY|WL
ABORALLY,True,,,,,False,,PLAY|WL
ABORIGINE,True,,,,,False,,PLAY|WL
ABORNING,True,,,,,False,,PLAY|WL
ABORT,True,3.27,noun,atomic=True,,False,,BAS|PLAY|WL
ABORTED,True,3.18,verb,atomic=False,,False,,BAS|PLAY|WL
ABORTER,True,,,,,False,,PLAY|WL
ABORTERS,True,,,,,False,,PLAY|WL
ABORTING,True,,,,,False,,PLAY|WL
ABORTION,True,4.24,noun,atomic=False,,False,,BAS|PLAY|WL
ABORTIONS,True,3.53,noun,atomic=False,,False,,BAS|PLAY|WL
ABORTIVE,True,2.67,adj,atomic=True,,False,,BAS|PLAY|WL
ABORTS,True,,,,,False,,PLAY|WL
